NPA,2013,2014,2015,2016,2017,2018,2019,2021,2022,2023
55,"15.2%","10.2%","12.3%","8.7%","15.1%","13.7%","13%","13.7%","25.4%","19.6%"
56,"5.1%","5.7%","7.2%","7.8%","6.4%","11.4%","7.1%","4.6%","11.6%","11.1%"
57,"7.9%","7.9%","8.4%","9.1%","6.4%","9.8%","13.8%","18%","24%","24.7%"
58,"9.1%","15.3%","13.8%","14.1%","13.8%","13.1%","18.2%","43.8%","44.8%","33.5%"
59,"11.7%","14.1%","11.9%","16.2%","14.9%","13.9%","17.2%","39.6%","32.7%","33.1%"
60,"12.8%","21.2%","21.8%","13.6%","12.8%","16.9%","19%","35.5%","39.4%","32.9%"
61,"5.9%","15.7%","5.3%","12%","22.1%","17.2%","16.7%","26.1%","29.6%","25.9%"
62,"--","--","--","--","--","--","--","--","--","--"
64,"15%","10.7%","11.4%","15.9%","17.4%","21.2%","24%","34.8%","41.1%","33.1%"
65,"5.8%","5.6%","5.2%","6.3%","11.7%","18.8%","15.9%","24.1%","33.2%","27%"
66,"8.4%","14.3%","2.9%","6.9%","14.4%","20.6%","22%","34.2%","40%","33.8%"
67,"13.8%","24.2%","24.1%","10.4%","11.4%","19%","17.6%","30.2%","37.4%","31.3%"
68,"5.7%","10.5%","9.6%","13.3%","13.1%","14.3%","16%","23.5%","30.5%","26.1%"
69,"4.4%","1.7%","0.9%","6.8%","7.2%","2%","6.9%","1.6%","8.6%","10.4%"
70,"9.3%","14.1%","15.4%","16.6%","20.2%","19.6%","31%","39.2%","40.3%","34.4%"
71,"11.7%","17.2%","13.9%","10.1%","15.9%","15.1%","23.7%","38.6%","41.9%","33.3%"
72,"5.9%","5.8%","7.1%","7.6%","15.3%","13.9%","11.2%","21.4%","27.8%","26.2%"
73,"6.8%","11.7%","11.1%","12.6%","12.1%","15.1%","16%","30.3%","29.4%","21.1%"
74,"4.9%","9.1%","13.2%","1.6%","16.9%","11.1%","16.2%","12.9%","24.4%","21.7%"
75,"4.7%","3.8%","3.1%","3.9%","4.8%","3.6%","3.8%","4%","12.7%","9.8%"
76,"5.5%","4.3%","4.7%","4.4%","6.2%","7.5%","9.8%","14.6%","25.9%","20.5%"
77,"4.6%","8%","6.3%","6.1%","7.1%","9.9%","13.2%","13.3%","27.2%","22.4%"
78,"10.7%","7.4%","7.9%","7.6%","9.8%","12.5%","11.3%","14.1%","29%","21.1%"
79,"12.3%","16.5%","11.7%","9.5%","11.3%","15.4%","17.7%","39.8%","33.2%","30.5%"
80,"6.3%","10.3%","7.1%","10.8%","10.9%","23.5%","21.7%","34%","40.1%","25%"
81,"6.7%","6.8%","6.3%","8.8%","8.2%","8.2%","18.2%","14.5%","26.6%","21%"
82,"5.4%","6%","5.7%","5.9%","10.2%","7.9%","9.1%","12.5%","22.4%","17.9%"
83,"11.8%","12.4%","12.2%","13.2%","12.1%","13.9%","17.8%","23.3%","29%","21.1%"
84,"11.8%","10%","21.2%","18.6%","19.3%","19.5%","15.7%","19.2%","18.6%","16.4%"
85,"14.5%","16.4%","17%","18.5%","21.3%","23.5%","24.4%","48.3%","46.1%","44.1%"
86,"12.4%","14.4%","16.7%","12.7%","15%","21.1%","23.1%","44.9%","40.9%","34.9%"
87,"8.4%","11.9%","12.2%","8.6%","9.7%","10.9%","16.3%","21.3%","40.2%","26.2%"
88,"11.6%","17.9%","14%","16.3%","13%","17.8%","16.2%","47%","37.1%","33.6%"
89,"9%","12.1%","11.8%","12.9%","13.4%","11.9%","11.1%","22.5%","31.1%","18.2%"
90,"11.1%","12.1%","13.6%","10.2%","17.1%","9.7%","7.8%","22%","39.1%","35.1%"
91,"7.4%","13.9%","13.7%","14.3%","15%","10.5%","16.3%","28.1%","36.2%","28.3%"
92,"7.9%","6.7%","14.7%","7.3%","16.1%","22.7%","28.6%","15.4%","26.9%","25%"
93,"7.6%","8.5%","13.6%","8.9%","13.9%","15.8%","19.3%","33.5%","27.5%","31.6%"
94,"12.6%","15.4%","14.3%","16.6%","18.3%","13.3%","18.4%","35.4%","42.9%","35.8%"
95,"7.3%","8%","11.1%","10.7%","10.6%","10.8%","15.3%","24.2%","32.2%","23.3%"
96,"8.7%","7.8%","11.2%","7.7%","12.2%","10.9%","16.5%","23.8%","29.9%","24.6%"
97,"5.6%","8.7%","10.3%","7.3%","10.3%","11.4%","15.2%","18.1%","28.5%","21.8%"
98,"3.9%","10.9%","10.4%","9.9%","11%","11.8%","10.7%","16%","25.4%","21.5%"
99,"6.9%","13%","7.2%","12.6%","9.1%","10.3%","13.1%","18.3%","27%","21.4%"
100,"10.3%","11.7%","13.4%","17.4%","19.2%","17.8%","16.7%","40.8%","32.2%","28.9%"
101,"9.7%","8.8%","9.9%","15.9%","14.6%","19.7%","19.1%","40.6%","39.9%","33.8%"
102,"10.9%","14.4%","12.4%","16.9%","11.6%","15.8%","13.3%","31%","33.8%","29.6%"
103,"11.2%","14.3%","10.5%","15%","23.8%","21.4%","22.4%","35%","35.2%","36.3%"
105,"9.4%","14.5%","12.8%","16.9%","18%","11.6%","21.6%","30.7%","34.6%","30.5%"
106,"7.5%","17.1%","15%","17.5%","10%","23%","27%","39.4%","42.1%","37.7%"
107,"8.9%","8.3%","10.5%","12.4%","8.3%","11.7%","18.1%","23.5%","31.3%","28.9%"
108,"6.1%","4.1%","10.2%","9.4%","6.8%","7.1%","10.8%","9.2%","24.5%","19.9%"
109,"8.9%","11.7%","12.4%","12.5%","8.8%","7.3%","13%","25.9%","27.5%","20.8%"
110,"8.8%","10.6%","11.2%","11.5%","12.9%","14.4%","15.9%","25.7%","27.7%","23.3%"
111,"7.3%","5.3%","7.1%","5.4%","9.2%","8.6%","13.9%","19.2%","29.4%","21.9%"
